episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,episode_reward_max_adapt_1,episode_reward_mean_adapt_1,episode_reward_min_adapt_1,adaptation_delta,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/kl,info/learner/default_policy/inner_kl,info/learner/default_policy/entropy
0.08,-8.0,-0.09650000000000002,nan,0,6,112320,0.08,-0.06949999999999998,-6.0,0.027000000000000038,False,0,39,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-39,1597645119,0.9746644496917725,53.35300087928772,6395,Francesco-PC,132.239.10.91,53.35300087928772,0,39,[],[],112320,112320,85.1,60.6,[1.81898949e-15],9.999999747378752e-05,0.10564353,7.947286e-09,0.011587735,1.8974686e-09,[-5.0487003e-11],0.69216573
0.08,-9.0,-0.2533333333333333,nan,0,6,115200,0.08,0.04666666666666666,0.0,0.29999999999999993,False,0,40,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-39,1597645119,0.9440977573394775,54.2970986366272,6395,Francesco-PC,132.239.10.91,54.2970986366272,0,40,[],[],115200,115200,89.3,60.6,[9.09494745e-16],9.999999747378752e-05,0.0069287154,-1.4404455e-08,0.017583482,-1.343179e-09,[5.3910276e-10],0.69212437
0.08,-9.0,-0.5058333333333332,nan,0,6,118080,0.08,-0.21033333333333332,-9.0,0.29549999999999993,False,0,41,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-41,1597645121,0.9828200340270996,55.2799186706543,6395,Francesco-PC,132.239.10.91,55.2799186706543,0,41,[],[],118080,118080,87.7,60.6,[4.54747372e-16],9.999999747378752e-05,0.3313775,1.8874804e-08,1.2003586,-1.8165569e-09,[-1.5481082e-10],0.6920699
0.08,-8.0,-0.2318333333333334,nan,0,6,120960,0.08,-0.40516666666666673,-10.0,-0.17333333333333334,False,0,42,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-42,1597645122,0.9823837280273438,56.26230239868164,6395,Francesco-PC,132.239.10.91,56.26230239868164,0,42,[],[],120960,120960,88.0,60.6,[2.27373686e-16],9.999999747378752e-05,0.61393327,-2.3841858e-08,0.016269734,2.3416258e-09,[5.0098753e-10],0.69198036
0.08,-9.0,-0.3893333333333334,nan,0,6,123840,0.08,-0.20933333333333334,-9.0,0.18000000000000008,False,0,43,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-43,1597645123,1.0303122997283936,57.292614698410034,6395,Francesco-PC,132.239.10.91,57.292614698410034,0,43,[],[],123840,123840,86.6,60.7,[1.13686843e-16],9.999999747378752e-05,0.3320386,6.45717e-09,1.2059166,2.1378627e-10,[-6.378755e-10],0.69193363
0.08,-8.0,-0.33833333333333326,nan,0,6,126720,0.08,0.04633333333333333,0.0,0.3846666666666666,False,0,44,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-44,1597645124,1.1405055522918701,58.433120250701904,6395,Francesco-PC,132.239.10.91,58.433120250701904,0,44,[],[],126720,126720,82.2,60.7,[5.68434216e-17],9.999999747378752e-05,0.006283406,-8.940697e-09,0.014769119,-6.506607e-10,[4.1823944e-10],0.6919267
0.08,-9.0,-0.45433333333333337,nan,0,6,129600,0.08,-0.09233333333333332,-8.0,0.36200000000000004,False,0,45,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-45,1597645125,1.3264684677124023,59.75958871841431,6395,Francesco-PC,132.239.10.91,59.75958871841431,0,45,[],[],129600,129600,90.5,60.8,[2.84217108e-17],9.999999747378752e-05,0.18100572,1.291434e-08,0.020907037,4.7532106e-10,[5.0829535e-10],0.69187504
0.08,-6.92,-0.06783333333333334,nan,0,6,132480,0.08,0.0375,0.0,0.10533333333333333,False,0,46,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-46,1597645126,1.0050678253173828,60.76465654373169,6395,Francesco-PC,132.239.10.91,60.76465654373169,0,46,[],[],132480,132480,74.3,60.9,[1.42108554e-17],9.999999747378752e-05,0.008111955,-1.4404455e-08,0.009446144,-1.0717282e-09,[-2.2916206e-10],0.6919261
0.08,0.0,0.04866666666666667,nan,0,6,135360,0.08,-0.3685000000000001,-9.0,-0.4171666666666668,False,0,47,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-47,1597645127,1.0983777046203613,61.86303424835205,6395,Francesco-PC,132.239.10.91,61.86303424835205,0,47,[],[],135360,135360,90.5,60.8,[7.1054277e-18],9.999999747378752e-05,0.59540325,-3.973643e-09,0.012815612,-1.3449722e-09,[-3.271081e-10],0.6918631
0.08,-8.0,-0.19866666666666666,nan,0,6,138240,0.08,0.044666666666666674,0.0,0.24333333333333335,False,0,48,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-48,1597645128,0.9705004692077637,62.833534717559814,6395,Francesco-PC,132.239.10.91,62.833534717559814,0,48,[],[],138240,138240,88.8,60.8,[3.55271385e-18],9.999999747378752e-05,0.010521527,-2.7815501e-08,0.027994562,1.7960482e-09,[1.0981781e-11],0.69167686
0.08,-9.92,-0.2676666666666666,nan,0,6,141120,0.08,-0.07583333333333334,-7.0,0.19183333333333327,False,0,49,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-49,1597645129,0.9661903381347656,63.79972505569458,6395,Francesco-PC,132.239.10.91,63.79972505569458,0,49,[],[],141120,141120,88.8,60.8,[1.77635692e-18],9.999999747378752e-05,0.14775881,-2.7567149e-08,0.018549092,-2.1803924e-10,[-5.821843e-10],0.6917166
0.08,0.0,0.05366666666666667,nan,0,6,144000,0.08,-0.10600000000000001,-9.0,-0.15966666666666668,False,0,50,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-50,1597645130,0.9618589878082275,64.76158404350281,6395,Francesco-PC,132.239.10.91,64.76158404350281,0,50,[],[],144000,144000,87.0,60.8,[8.88178462e-19],9.999999747378752e-05,0.23310332,-2.483527e-09,0.0153188165,2.851738e-09,[-6.1951966e-10],0.691726
0.08,-10.0,-0.24799999999999994,nan,0,6,146880,0.08,0.04000000000000001,0.0,0.2879999999999999,False,0,51,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-51,1597645131,1.0398099422454834,65.80139398574829,6395,Francesco-PC,132.239.10.91,65.80139398574829,0,51,[],[],146880,146880,87.4,60.8,[4.44089231e-19],9.999999747378752e-05,0.00805783,-1.9868216e-08,0.008395848,-3.685917e-11,[9.36632e-10],0.6917065
0.08,0.0,0.04883333333333335,nan,0,6,149760,0.08,0.04666666666666667,0.0,-0.002166666666666678,False,0,52,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-52,1597645132,0.9654672145843506,66.76686120033264,6395,Francesco-PC,132.239.10.91,66.76686120033264,0,52,[],[],149760,149760,75.1,60.9,[2.22044615e-19],9.999999747378752e-05,0.007639408,-1.9868216e-08,0.016945025,8.7688315e-11,[-2.7934488e-10],0.69159347
